tam_1,tam_2,tam_3,tam_4,tam_5,tam_6,tam_7,tam_8,tam_9,tam_10
10.3,-110,6,95.1,4.9,2,-14,2,12749600000,25140400000
9.25,-108,6,95.1,5.7,0.8,-13.4,0.8,12753805091.9083,25177155001.3531
8.2,-95,6,95.1,4.5,0.7,-13.1,1.1,12758010183.8166,25213910002.7062
6.8,-92,5.3,95.1,2.9,2.6,-12.9,1.7,12762215275.725,25250665004.0594
5.4,-88,5.3,95.1,3,1.5,-12.6,0.9,12766420367.6333,25287420005.4125
10.1,-87,5.3,95.1,3.3,-2.3,-11.1,1.7,12770625459.5416,25324175006.7656
14.8,-84,5,95.1,3.6,-8.5,-3.4,2.6,12774830551.4499,25360930008.1187
20.15,-75,5,95.1,3.2,-5.5,-8.7,1.4,12779035643.3582,25397685009.4719
25.5,-73,5,95.1,4,-5.3,-7.5,1.8,12783240735.2666,25434440010.825
23.8,-69,3.3,95.1,6.1,-7,-2.5,1,12787445827.1749,25471195012.1781
22.1,-66,3.3,95.1,6.2,-7.8,1.6,0.6,12791650919.0832,25507950013.5312
21.6,-59,3.3,95.1,3.1,-6.5,5.4,0.9,12795856010.9915,25544705014.8844
21.1,-50,1.7,95.1,1.3,-5.6,6.2,1.6,12800061102.8998,25581460016.2375
18.3,-49,1.7,95.1,5.4,-7.3,-0.4,1.2,12804266194.8082,25618215017.5906
15.5,-46,1.7,95.1,6.5,-6.1,-0.6,1,12808471286.7165,25654970018.9437
12.75,-42,1,95.1,7.1,-5.5,-1.1,1.6,12812676378.6248,25691725020.2969
10,-39,1,95.1,6.8,-5.7,0.7,1.8,12816881470.5331,25728480021.65
8.6,-36,1,95.1,5.2,-6,-1.1,1.8,12821086562.4415,25765235023.0031
7.2,-37,2,95.1,5.7,-5.6,-0.7,1.7,12825291654.3498,25801990024.3562
7.1,-36,2,95.1,5.3,-4.6,-1.1,3.3,12829496746.2581,25838745025.7094
7,-33,2,95.1,4.4,-2.8,-0.6,6.9,12833701838.1664,25875500027.0625
7.05,-27,1.7,95.1,4.5,0.2,0.1,8.8,12837906930.0747,25912255028.4156
7.1,-29,1.7,95.1,4.3,-3.2,0.8,6.9,12842112021.9831,25949010029.7687
7.05,-32,1.7,95.1,3.1,-6.8,0.3,3.5,12846317113.8914,25985765031.1218
7,-30,3,96.6,3.8,-5.6,0.6,5.9,12850522205.7997,26022520032.475
6.65,-23,3,96.6,1.8,-1.3,-0.2,11.4,12847960164.0402,25984186820.5758
6.3,-34,3,96.6,6,-7.2,-2.6,1.8,12845270570.6018,25944438293.3988
6.15,-33,2.3,96.6,5.1,-8.1,0.1,1.6,12842580977.1634,25904689766.2219
6,-29,2.3,96.6,8.1,-2.2,0.3,2.6,12839891383.725,25864941239.0449
8.3,-25,2.3,96.6,6.9,-4,-1.5,4.2,12837201790.2867,25825192711.8679
10.6,-16,3,96.6,4.5,-5.4,-1.8,8,12834512196.8483,25785444184.691
13.3,-17,3,96.6,2.8,-4.6,0.4,7.7,12831822603.4099,25745695657.514
16,-16,3,96.6,2.4,-4.3,-1.4,8.5,12829133009.9715,25705947130.337
15.35,-17,2.3,96.6,3.4,-3.8,-2.2,9.7,12826443416.5331,25666198603.1601
14.7,-15,2.3,96.6,2.9,-3.5,0.1,11,12823753823.0947,25626450075.9831
16.55,-11,2.3,96.6,-0.2,0.4,0.9,8.5,12821064229.6563,25586701548.8061
18.4,-9,2.3,96.6,0,-3.8,1,7.6,12818374636.2179,25546953021.6292
16.7,-13,2.3,96.6,-2.7,0.8,-0.9,7,12815685042.7795,25507204494.4522
15,-14,2.3,96.6,-1.6,-1.5,2.1,7,12812995449.3411,25467455967.2752
12,-17,1.7,96.6,-3.7,2.1,-2.8,6.1,12810305855.9027,25427707440.0983
9,-21,1.7,96.6,-5.2,-0.2,-0.4,5.9,12807616262.4644,25387958912.9213
8.5,-21,1.7,96.6,-5.4,-0.2,0.9,5.5,12804926669.026,25348210385.7443
8,-17,1.7,96.6,-4.6,2.7,0.9,5.7,12802237075.5876,25308461858.5674
8.35,-17,1.7,96.6,-4.9,1.4,0.7,5.4,12799547482.1492,25268713331.3904
8.7,-18,1.7,96.6,-4.9,1.4,1,5.5,12796857888.7108,25228964804.2134
8.65,-14,1.3,96.6,-5.6,-0.3,2,6,12794168295.2724,25189216277.0364
8.6,-11,1.3,96.6,-6.4,0.9,1.1,5.9,12791478701.834,25149467749.8595
8.25,-12,1.3,96.6,-6.2,1.3,0.2,5.7,12788789108.3956,25109719222.6825
7.9,-15,0.3,98.5,-6.1,1.3,0,6.1,12786099514.9572,25069970695.5055
8.15,-12,0.3,98.5,-6.3,2.3,2.6,6.3,12780402864.4586,25050610015.1966
8.4,-12,0.3,98.5,-6.1,3.4,1.4,6.9,12774590678.019,25032032668.568
